,GBC,VAR_FCD,ws,njdopa_ctx,njdopa_str,L.PU_FC,L.CA_FC,L.HI_FC,L.STG_FC,L.CER_FC,L.CACG_FC,L.RACG_FC,L.IN_FC,L.PCG_FC,L.POP_FC,L.POR_FC,L.PTR_FC,R.PU_FC,R.CA_FC,R.HI_FC,R.STG_FC,R.CER_FC,R.CACG_FC,R.RACG_FC,R.IN_FC,R.PCG_FC,R.POP_FC,R.POR_FC,R.PTR_FC,L.PU-L.RACG,R.PU-R.RACG,L.PU-L.CACG,R.PU-R.CACG,L.PU-L.IN,R.PU-R.IN,L.PU-L.CER,R.PU-R.CER,L.CA-L.RACG,R.CA-R.RACG,L.CA-L.CACG,R.CA-R.CACG,L.CA-L.IN,R.CA-R.IN,L.CA-L.PCG,R.CA-R.PCG,L.CA-L.HI,R.CA-R.HI,L.CA-L.CER,R.CA-R.CER,L.HI-L.IN,R.HI-R.IN,L.PU_ALFF,L.CA_ALFF,L.HI_ALFF,L.STG_ALFF,L.CER_ALFF,L.CACG_ALFF,L.RACG_ALFF,L.IN_ALFF,L.PCG_ALFF,L.POP_ALFF,L.POR_ALFF,L.PTR_ALFF,R.PU_ALFF,R.CA_ALFF,R.HI_ALFF,R.STG_ALFF,R.CER_ALFF,R.CACG_ALFF,R.RACG_ALFF,R.IN_ALFF,R.PCG_ALFF,R.POP_ALFF,R.POR_ALFF,R.PTR_ALFF
0,0.036717895,0.0006133929298806516,100.0,0.032,0.003,0.012685646682733758,0.03281678698216898,0.024198134957346372,0.013775640249063838,0.009717809174270812,0.021394228415634382,0.02567178123995074,0.023104451933509802,0.018789332820060303,0.02254256311148527,0.016437037312806796,0.036249124915792935,0.02464127656449342,0.02002967417051661,0.019146239894325845,0.02310308590520955,0.006819138172431849,0.00873614123944814,0.021068535942634168,0.01266441091900647,0.021525638291980915,0.01824416712735824,0.03157826962602225,0.012004999565847572,0.06163546442985535,0.06150306016206741,-0.06094551831483841,0.02603546530008316,0.10398765653371811,0.17949609458446503,0.007029983680695295,0.011745701543986797,0.06210153177380562,0.14841650426387787,0.023846911266446114,0.060318220406770706,0.09154239296913147,0.08589170128107071,0.00957577396184206,0.07126008719205856,0.14174433052539825,-0.016315650194883347,0.00029291969258338213,-0.09985005855560303,0.0040282937698066235,0.06367064267396927,0.21944796,0.83434004,1.6167014,0.9726629,1.1459843,1.3789911,0.24739027,-0.20899631,1.713917,0.13757081,-1.2023041,0.79345876,-0.38055637,-0.6984689,0.41209093,1.3996574,0.40108433,0.81411135,1.1968642,1.0094466,1.4726151,-0.08235216,-0.5936955,2.2839682
1,0.073431484,0.0010637954729775302,0.003,0.032,10.0,0.060508940812377704,0.048275657892753815,0.02922824459909905,0.03468927965011625,0.05459072881335271,0.01610148956037197,0.019038269378749344,0.04175899175433664,0.015210900702402882,0.03627294871035874,0.022665289060872357,0.045338406073694514,0.08301200452912044,0.04987147024075966,0.04630422678608392,0.02586613256148883,0.04627010944663891,0.04272416486336234,0.02410532114161123,0.04092557762660796,0.027610294130032083,0.03465466456726149,0.0361149476829312,0.03824880565350343,0.02865174226462841,0.06895972043275833,0.04723964259028435,0.22890961170196533,0.3972516655921936,0.33872511982917786,0.2556760311126709,0.18996666371822357,0.12337829917669296,0.13220670819282532,0.07102671265602112,0.1679534763097763,0.2602514326572418,0.1853322833776474,0.15066927671432495,0.0851074606180191,0.11806745827198029,0.10171417146921158,0.12381140142679214,0.08237338066101074,0.03862493857741356,0.02553197555243969,-1.4520248,-1.4598403,-0.83293605,-0.87792075,-1.0984079,-0.5567249,0.30366844,-0.8225173,0.15659772,2.0821476,0.292426,-0.46948987,1.4255348,-0.65546566,-0.56470704,-0.8381854,-1.5593481,-0.68115586,-0.8419326,-1.1345366,-0.72419506,-1.0485907,-1.1786966,1.3860234
2,0.21193811,0.006289792652327892,1.0,0.001,0.032,0.10932583046156824,0.08435962882746632,0.09322398504342086,0.14626666343662822,0.003844848751170849,0.060673533431933414,0.06737946076983851,0.12203490472512342,0.11511524766683578,0.1044071986772386,0.044717927925029516,0.07109052195890053,0.14420453943533912,0.10932043006236893,0.07445101267131533,0.1569881425169851,0.023888806796527377,0.054105907695234885,0.05995465410385458,0.15620032653567337,0.10914603791787245,0.11375909281196073,0.1011115156455032,0.1097227687222628,0.0966295674443245,0.21250410377979279,0.1877223551273346,0.19333963096141815,0.5614811182022095,0.6301212906837463,0.07146808505058289,-0.05179883912205696,0.17385339736938477,0.1667300909757614,0.10504110902547836,0.15521496534347534,0.34273621439933777,0.48227596282958984,0.2161393016576767,0.2545293867588043,0.23482924699783325,0.22239801287651062,0.020826710388064384,-0.027788657695055008,0.34677228331565857,0.31996557116508484,-1.4965719,-0.0955798,-1.5689467,-0.8203062,-1.1316733,-0.662621,2.6412911,0.56681347,-0.01164409,-0.8132463,-0.53719413,0.14167798,-0.64485276,-0.60131663,-0.78836614,-1.1953919,-0.25596702,-0.46102315,0.4435056,-0.09707048,-0.9970332,0.92858195,0.48586115,0.31416017
3,0.084422134,0.0013744634163411406,0.01,0.0001,0.003,0.06731400068383664,0.060685012461839334,0.03566599257776813,0.03298478274380267,0.048168227804819164,0.021285740641317153,0.027137398957815355,0.05730435385790077,0.006466611914393503,0.03222248746897094,0.019000519132879118,0.04040287277651563,0.06924513116523269,0.06304223905871845,0.04444937491288805,0.03459212685646933,0.023817922628603855,0.027918979100095817,0.03152969949682995,0.05561711779522566,0.05048229389025697,0.0483848804197762,0.03702591535485616,0.043425932623601206,-0.04381760209798813,0.08134450763463974,0.00898648239672184,0.1029386892914772,0.38686901330947876,0.40872859954833984,0.11772097647190094,0.0995185449719429,0.08910956978797913,0.24981968104839325,0.03762399032711983,0.12694565951824188,0.24025768041610718,0.1367117166519165,0.023686863481998444,0.14480969309806824,0.12073540687561035,0.05184874311089516,-0.031065808609128,0.04794608801603317,0.11020759493112564,0.1500316709280014,-1.3957428,-1.8690916,-0.43802765,-0.87927324,-1.2909118,-0.86065894,0.18363407,0.22035566,1.566767,-0.15273905,-0.13934788,0.20266767,-0.50800663,0.43797192,-0.95744085,-0.8013894,-1.3153882,-0.17756525,-0.41332197,-0.6286521,-0.77835375,-1.0207781,-0.02830815,1.6914073
4,0.16897039,0.0038803819437132512,0.0001,1.0,0.001,0.13349370211168812,0.11495895565132655,0.0712284163788094,0.10701948954513119,0.034545919669437264,0.05109049134868352,0.06507104975614875,0.11995001701593754,0.04936292053372156,0.0807227709336162,0.07128729597787328,0.10327154888571906,0.11569252606066238,0.0911820691196356,0.08392470350649785,0.08878022634391007,0.023311865323367306,0.04441904844827063,0.03705545919642429,0.12039042819136132,0.11334002645231694,0.0642445401071243,0.0821065260721038,0.08455202040273607,0.23818880319595337,0.16200901567935944,0.22863657772541046,0.14794719219207764,0.6532357931137085,0.6033492088317871,0.1856440007686615,0.04620044678449631,0.28280872106552124,0.12024635821580887,0.18726542592048645,0.1290144920349121,0.5080336928367615,0.4108315706253052,0.15866602957248688,0.323392778635025,0.21491652727127075,0.27853289246559143,0.11057128012180328,-0.052114278078079224,0.3280528783798218,0.3587688207626343,-1.9775903,-0.5869619,-1.5378778,-0.8392405,-1.5932957,-0.16271585,1.1415366,0.99244213,-0.36231273,0.06786674,0.044263363,0.019121053,-0.21244906,0.31271026,0.10701623,-1.2665924,-1.142051,-0.24034947,0.24212216,0.37094858,-1.1190333,0.50122553,2.7309978,0.43529788
5,0.10414891,0.0027835746306409358,10.0,0.316,100.0,0.06111085007848617,0.08872620565601946,0.05212637404751842,0.05626892513655115,0.026601334861230237,0.037553634645605814,0.030329876078169383,0.06709220664578468,0.03791676836997448,0.03947293950061846,0.026683887339285797,0.0732011860257314,0.07831153700992997,0.047167081625611035,0.028766878421769043,0.08076165237330965,0.0007899436431693001,0.018888030631517592,0.03214831833637228,0.08316139415754671,0.059795132079497784,0.0433265666076858,0.057866674735123524,0.061055170200537155,0.22219067811965942,0.13806813955307007,0.06136443838477135,0.0819949060678482,0.40591225028038025,0.4363347291946411,0.13319005072116852,0.1130174845457077,0.1798119992017746,0.1804782897233963,0.05116653069853783,0.061360593885183334,0.33494263887405396,0.26411303877830505,0.12612295150756836,0.14674612879753113,0.16587196290493011,0.05452011525630951,-0.027515040710568428,0.07735724002122879,0.09392918646335602,0.18840649724006653,0.20534748,0.87741774,1.9612647,0.71219414,1.1327208,1.6387534,-0.46041918,-0.12026542,2.752402,-0.8721606,-1.5023594,0.7105534,-1.1278765,-1.2669019,0.026397776,0.8814103,0.10515958,0.7589781,0.9504435,0.9178862,1.4432442,0.23005013,0.7261737,2.2490218
6,0.04504055,0.0008479710421567885,0.1,100.0,0.0001,0.023752238368615508,0.03819049267830061,0.03470184053904155,0.014168896640989087,0.017338009047740514,0.029481005650658126,0.03366692181693257,0.029439601052997335,0.013439878435747232,0.03249648397624177,0.009687328289146535,0.020777932656831883,0.032818728808446655,0.01746246175441359,0.02284973722964337,0.02294523316838119,0.012219309657146888,0.01967033625381494,0.02910879470541009,0.02599022289671536,0.03997557543334551,0.01950475492083656,0.03999896954406895,0.020283848614781164,0.07457229495048523,0.10466307401657104,-0.042737074196338654,0.04883021488785744,0.16654084622859955,0.2142218053340912,0.0642981082201004,-0.029438693076372147,0.11624110490083694,0.154570072889328,0.023868268355727196,0.07684314250946045,0.11860567331314087,0.13153596222400665,0.009570745751261711,0.08662187308073044,0.16187940537929535,-0.014364871196448803,0.13181668519973755,-0.06219678372144699,0.04879346489906311,0.07271136343479156,-0.38897654,0.69840175,0.63463914,0.8380031,0.56605196,1.0756153,0.6127159,-0.4221697,4.216355,0.19326377,-0.89608943,0.80079925,-0.50508815,-0.8972597,-0.16388658,0.37883815,0.13392588,0.56724435,0.7677613,0.79856956,1.5238878,0.33596957,-0.84999007,4.0684886
7,0.114680015,0.002758010367957065,0.003,3.162,0.316,0.051450445803181664,0.06785769525976364,0.06577388003435251,0.06684461223526991,0.051446197928661216,0.03074694572604217,0.016463341387948492,0.07786781321434925,0.03222040747364406,0.07816912820618156,0.05282997591781341,0.07733764049884312,0.10089298280599039,0.057325935934689674,0.04117882940062416,0.056455099127820825,0.028536046528080034,0.04807381412164042,0.010542359763002466,0.07406267770593764,0.0636777020997778,0.02056262620247989,0.05638749967952857,0.053843194840564615,0.13072112202644348,0.021273130550980568,0.013592439703643322,0.09379458427429199,0.2777189314365387,0.39115092158317566,0.027332887053489685,0.1431068778038025,0.08482266962528229,0.06812621653079987,0.02154446765780449,0.12599918246269226,0.24426177144050598,0.3487168252468109,0.04962381348013878,0.19757018983364105,0.15374746918678284,0.10589320212602615,0.1260339766740799,0.05238891765475273,0.25235942006111145,0.20408865809440613,-1.3485203,0.2364861,-0.44282594,0.6564087,-0.25983012,1.0727164,1.2948675,-0.7333955,2.3695652,0.57967645,1.6283475,1.1620272,-0.41690087,2.317742,0.09872471,-0.432013,-0.57185775,0.32904705,1.6850055,0.7283946,0.31465277,0.874173,-1.0964357,2.8615124
8,0.058465943,0.0009886308351160049,3.162,0.01,10.0,0.033258927039111895,0.03484092478815694,0.04020819575747564,0.023053233134089083,0.019415533068587093,0.0320967147902896,0.024055175596870305,0.016792770688490628,0.01400650959320566,0.028487770131375458,0.005294503138949429,0.026368606544218937,0.061076228448655456,0.056947256065627914,0.02857351441967434,0.04595316947060859,0.018100341816621256,0.005420892322338962,0.03000081310684826,0.04740332453816552,0.0320486335355478,0.028950221460988922,0.031673089713357125,0.019711334942084727,0.15009251236915588,0.1280568689107895,-0.01832953654229641,0.021668532863259315,0.22153066098690033,0.36009693145751953,0.07238219678401947,0.09772640466690063,0.09479834884405136,0.1785522699356079,0.009649031795561314,0.08537942916154861,0.11920859664678574,0.18298371136188507,0.03804397210478783,0.09384922683238983,0.1393209844827652,0.018385443836450577,0.06226479634642601,0.06412941217422485,0.03173128142952919,0.11028003692626953,0.04708235,0.7325394,1.5251584,0.8699545,0.96287024,1.0562736,0.17229643,-0.5915438,2.243875,-1.0849614,-1.6447403,1.107266,-0.9445945,-1.0116723,0.47773418,1.3179089,0.32691538,0.70333934,1.1959001,0.9772914,1.1803173,-0.15720698,-0.3568955,1.5995584
9,0.20756727,0.008579559376512214,1.0,1.0,0.032,0.12266827738356023,0.09360592632410339,0.10316598019727237,0.1365185200314348,0.008741684177082442,0.07970419825869612,0.05236894133434232,0.11332764733205772,0.10806659872676912,0.1372606845758301,0.05203626695895634,0.1026088402698709,0.12958900866494463,0.09939160203239658,0.0670589033799756,0.15172801316033915,0.015471191177355303,0.08034186635354888,0.04324599362665876,0.14965427680137855,0.11981848898254352,0.11152295033216,0.10106903444448974,0.11362186760795469,0.2646259665489197,0.193670853972435,0.18647834658622742,0.2712022364139557,0.625263512134552,0.6311981678009033,0.06822311878204346,0.006260128691792488,0.19436684250831604,0.24420544505119324,0.15735550224781036,0.27699440717697144,0.4785222113132477,0.5055263042449951,0.2971748113632202,0.36353155970573425,0.3532126247882843,0.2629225254058838,-0.082146555185318,-0.09208156913518906,0.43561723828315735,0.4240310490131378,-1.3760785,1.1331817,-0.625896,-0.2220809,-0.38448545,0.03467515,1.568658,0.032778546,-0.5061888,-0.7166416,-1.2456224,0.173078,-1.1755285,-0.99644,-0.52878815,-1.123091,-0.38112587,0.15657279,0.8834636,0.075676836,-0.714939,0.9973152,0.79462904,0.2090075
